台灣數位,#genre#
CNN,P2p://sdgdklwos.finetv.tv:9906/59fd16db000b5f05026dc5a57b516fdb
民视,P2p://sdgdklwos.finetv.tv:9906/59fd230300046dc8029d402053e02fbf
台視,P2p://sdgdklwos.finetv.tv:9906/59fd099c00008ebf023a04ce64d57ff4
中視,P2p://sdgdklwos.finetv.tv:9906/59fd06ac000555a7022e8c862ebc1019
華視,P2p://sdgdklwos.finetv.tv:9906/59fd068a0005f99e022e07d55c2f581d
公视,P2p://sdgdklwos.finetv.tv:9906/5ac5da01000d09fc15e6046427920804
Discovery,P2p://sdgdklwos.finetv.tv:9906/59fcf587000c4fc201eb95c324ea0953
國家地理,P2p://sdgdklwos.finetv.tv:9906/59fd16240000683c026af7fe2edc67eb
TLC旅游生活,P2p://sdgdklwos.finetv.tv:9906/59fd0809000909e90233e0b820d34ea5
動物星球,P2p://sdgdklwos.finetv.tv:9906/59fd254500042de102a611e03cd83fa7
美食星球,P2p://sdgdklwos.finetv.tv:9906/59fd07190004a07d0230361f798d3b15
Disney,P2p://sdgdklwos.finetv.tv:9906/59fd1766000a51cc026fe44f425c5788#P2p://51.79.41.138:18912/5b593aed000036216fcf18132a0e38a8.ts#tvbus://3nKZ66d1TVDq386edjjUdeARCgrHVZm9Kxe3YrLpmUBd7ZnndT
東森幼幼,P2p://sdgdklwos.finetv.tv:9906/5a32188e00095e2bd4b5d0737fe325f5#P2p://51.79.41.138:18912/5b140a9a00071c284e9d1cd4635baf06.ts#tvbus://3chF4Rr9GUqkiJB2QuW6iWj6VBnciWfYsjJ5UaXxKehdxk76QE
MOMO親子,P2p://sdgdklwos.finetv.tv:9906/5a3b9d400006e7bcf9e47334508c3038#P2p://47.115.141.24:29956/5eb7079d0006fca349f911a175ca457e
緯來綜合,P2p://sdgdklwos.finetv.tv:9906/59fd206e00099d6f02932b6078c86d9a
八大第1台,P2p://sdgdklwos.finetv.tv:9906/59fd22540006fb57029a95244a947e57
八大綜合台,P2p://sdgdklwos.finetv.tv:9906/59fd22220005cbed0299d18627a207f7#P2p://147.115.141.24:29956/5eb707a9000c720e49f941e627aacf36#P2p://51.79.41.138:18912/5b14092c0004b9c2d8e4f9d4be465e45.ts
三立台灣台,P2p://sdgdklwos.finetv.tv:9906/5a1425f00009bfad5fb93e0a6f7070c4#P2p://47.115.141.24:29956/5eb707b200058c5249f9634a279fea11#P2p://51.79.41.138:18912/5c2dd74a000cbd461de438d2516b0598.ts#tvbus://12AJmEiuRVBZnnPNvtLLU1ohJZuiVUeD4vEVwkBpXj4rcChvwSF
三立都會台,P2p://sdgdklwos.finetv.tv:9906/5a1425f00009bfad5fb93e0a6f7070c4#P2p://sdgdklwos.finetv.tv:9906/59fd20f5000e6b4602953c0079210fd1#tvbus://3P3TmCuU7XMLCZyDpKKhMWEzaymvcLi89gioXC4n7RF65hZUvW
衛視中文台,https://www.doofree88.com/streaming/sd-starchinesechannel_480/index.m3u8#P2p://sdgdklwos.finetv.tv:9906/59fd0394000660a0022277050be47b46#P2p://47.115.141.24:29956/5eb707ae000ce4af49f9558c1b0b3e65#P2p://51.79.41.138:18912/5b14096a00006f0713094e01eb31199f.ts
東森超視,tvbus://4JKXr5NeLLNWjRY84Vcgbc6FR1nwzPcxx6kJow5pfrPMTGnpzb#p2p://211.75.214.186:9906/57a7255d000bf7bc3d69d43ffb84d474.ts
東森綜合台,P2p://sdgdklwos.finetv.tv:9906/5a141ade0007bc435f8dff2d5b3453d7#P2p://51.79.41.138:18912/5b1409f1000dc91b655a208f2cb234bd.ts
中天綜合,P2p://sdgdklwos.finetv.tv:9906/59fd04bc00059d610226fb164a845fa5#P2p://51.79.41.138:18912/5b14096a0007d3451a02c19dfe66f39d.ts
中天娛樂,P2p://sdgdklwos.finetv.tv:9906/59fd049e0006fb6e0226863427c1695 
東森戲劇,P2p://sdgdklwos.finetv.tv:9906/59fd17a500022c250270d8533c186ce9#P2p://51.79.41.138:18912/5b1409f20000320be739d8186cb9e633.ts
八大戲劇,P2p://sdgdklwos.finetv.tv:9906/59fd21c7000edfe70298706f2ef217c7
八大娛樂,P2p://47.115.141.24:29956/5eb707a9000d4acd49f9421ec8622ab4
TVBS歡樂台,P2p://sdgdklwos.finetv.tv:9906/59fd20ae000635720294248563346fd6#P2p://47.115.141.24:29956/5eb707a9000ac23a49f94178aaa844c2
緯來戲劇,P2p://sdgdklwos.finetv.tv:9906/59fd20190002fb090291ddb256d73759
壹新聞,P2p://sdgdklwos.finetv.tv:9906/59fd08ad000509c00236604f613b08e7#P2p://51.79.41.138:18912/5b14094000088a465141c7e26922de95.ts#P2p://47.115.141.24:29956/5eb707b2000c55d249f96507aec0ef85
年代新聞,P2p://sdgdklwos.finetv.tv:9906/5a56230e0004af51617ff5935a3e292e
東森新聞,p2p://sdgdklwos.finetv.tv:9906/5a1427ee0009fb195fc1064a3af652d1#P2p://47.115.141.24:29956/5eb707b6000a895949f97431831ac89c
中天新聞,P2p://sdgdklwos.finetv.tv:9906/59fd05020006070602280c953c2545e6#P2p://sdgdklwos.finetv.tv:9906/5acb650d0006707f2b8d716537d413a9
年代新聞,P2p://sdgdklwos.finetv.tv:9906/5a56230e0004af51617ff5935a3e292e#P2p://51.79.41.138:18912/5c2dd760000328566d6fe394896a040f.ts
三立新聞,P2p://sdgdklwos.finetv.tv:9906/59fd08fd000707490237995b3c9f2775
非凡新聞,P2p://sdgdklwos.finetv.tv:9906/59fd05f30007004f022bba4b77671d93
TVBS新聞,P2p://sdgdklwos.finetv.tv:9906/59fd096d0003aa9702394e013b6206a2
東森財經,P2p://sdgdklwos.finetv.tv:9906/59fd1f94000ee56d028fd937397b7e63#P2p://51.79.41.138:18912/5b1409f20000320be739d8186cb9e633.ts#P2p://47.115.141.24:29956/5eb707b60009b2b749f973fa10c0939
星衛電影台,P2p://sdgdklwos.finetv.tv:9906/59fd086a00072cbb02355b236c4a3fcb#P2p://47.115.141.24:29956/5eb707ae000616b649f953cecfd42cd0#tvbus://34guiPCGPcVJyd7Hk4MohvAABtn9ZoQm3wJqDh4gPa65mV44Se
