台灣數位,#genre#
JAPAN NEWS,https://n24-cdn-live.ntv.co.jp/ch01/High.m3u8
NHK,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
CNN,P2p://sdgdklwos.finetv.tv:9906/59fd16db000b5f05026dc5a57b516fdb
民视,rtmp://xiaoyu.speedws.com/sat/tv051
台視,rtmp://xiaoyu.speedws.com/sat/tv071
中視,rtmp://xiaoyu.speedws.com/sat/tv091
華視,rtmp://xiaoyu.speedws.com/sat/tv111
公視,http://198.16.106.58:8278/ctv_taiwan/playlist.m3u8?tid=m33b41eb996d0&ct=18336&tsum=ea5304d5140e9a3d2a32aece896feeed
Discovery,http://198.16.106.58:8278/discoverytwn_twn/playlist.m3u8?tid=MAAA4463833744638337&ct=18393&tsum=c4bd4c633430327425e073012785525e
國家地理,http://198.16.106.58:8278/natgeopeople_twn/playlist.m3u8?tid=MF4F1621382516213825&ct=18393&tsum=0179c7c8b0ada87c4a4caf401d0edcbf#http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
國家野生,http://198.16.106.58:8278/natgeowild_twn/playlist.m3u8?tid=MDDD9803492998034929&ct=18393&tsum=b276f2598186cdc8f4c513d89bfc2032
TLC旅游生活,http://198.16.106.58:8278/tlcasia_twn/playlist.m3u8?tid=m4275a6300f1315825317&ct=17874&tsum=40a7698d34b5c229dcb10d0a2b876319
動物星球,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
美食星球,http://198.16.106.58:8278/chinesefoodnetwork/playlist.m3u8?tid=mbc914f8739e615316317&ct=17874&tsum=a3e117776a0b1de55a524a983d08b532
FOX SPORTS HD,rtmp://xiaoyu.speedws.com/sat/tv731
ELTA體育1台,http://198.16.106.58:8278/eltasport_twn/playlist.m3u8?tid=ME9E8181930481819304&ct=18393&tsum=85b567afc521d3791a83506b7dab75b7
緯來體育,http://198.16.106.58:8278/videolandsport_twn/playlist.m3u8?tid=m297afae2173c10027172&ct=17874&tsum=059e8c4d61e754d611ae4903c24be121
NBA HD,http://198.16.106.58:8278/nbausa_glo/playlist.m3u8?tid=MF3F9400995694009956&ct=18393&tsum=eb7a5adc08a107872b49aa3ab284cb5e
CN卡通HD,http://198.16.106.58:8278/momo1_twn/playlist.m3u8?tid=MDCD8337337283373372&ct=18393&tsum=3744c35f02ab2207fb7dbbcb450f02d6
Disney,http://198.16.106.58:8278/disneytwn_twn/playlist.m3u8?tid=m215093f0d3d710656413&ct=17899&tsum=cfa7cdeea67a02a00ac9b0bea4776d28
東森幼幼,http://198.16.106.58:8278/yoyo_twn/playlist.m3u8?tid=m84c9b210bc7f11269156&ct=17874&tsum=51340c8fb7ca02ab978ee0791843501d
MOMO親子,P2p://sdgdklwos.finetv.tv:9906/5a3b9d400006e7bcf9e47334508c3038#http://198.16.106.58:8278/starfamily/playlist.m3u8?tid=m35569e28d78a&ct=18335&tsum=fb0f65f17e4ceec252f8c5b8a5552119
緯來綜合,http://198.16.106.58:8278/videolandzhe_twn/playlist.m3u8?tid=me8bac156077117426124&ct=17877&tsum=f5d43c876bab3b4a886b39fc8f7fc653
緯來日本,rtmp://xiaoyu.speedws.com/sat/tv771
八大第1台,http://198.16.106.58:8278/badafirst/playlist.m3u8?tid=MA8A1840221418402214&ct=18392&tsum=f987ccb055254f75b94a87e6edc5c4e1
八大綜合台,http://104.250.154.42:8080//ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
東森綜合台,http://198.16.106.58:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
三立台灣台,http://198.16.106.58:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立都會台,http://198.16.106.58:8278/sanlidouhui/playlist.m3u8?tid=MB1B1781992417819924&ct=18392&tsum=00e0f207f78b848c96b61edd3a516cad
衛視中文台,P2p://sdgdklwos.finetv.tv:9906/59fd0394000660a0022277050be47b46#http://198.16.106.58:8278/starchinese/playlist.m3u8?tid=me401a3ac403314590835&ct=18257&tsum=3ee06222a833e5495c1601ff8fc72585
東森綜合,http://198.16.106.58:8278/ettvzhonghe/playlist.m3u8?tid=MFFF5613870756138707&ct=18392&tsum=98203c0c3f843b7d4d2d79608a365419
FOX娛樂,http://198.16.106.58:8278/foxhd_twn/playlist.m3u8?tid=MA6A2819297028192970&ct=18393&tsum=3414f4d77779c119832629eadfa43ac2
壹綜合HD,http://198.16.106.58:8278/onetvzonghe/playlist.m3u8?tid=MB3B8376770783767707&ct=18392&tsum=8cd3b2b2884ff84b61e4392f67042537
八大娛樂,http://198.16.106.58:8278/badaentertain/playlist.m3u8?tid=MC7C6131536661315366&ct=18392&tsum=ca3afe510fdab8d2c2c7ed8088843dc9
中天綜合,http://198.16.106.58:8278/ctizhonghe/playlist.m3u8?tid=MC9C5862444758624447&ct=18392&tsum=a0cc43cabb1931941a656a359396ba21
星衛娛樂台,http://198.16.106.58:8278/starentertainment_twn/playlist.m3u8?tid=m03b7fd7a033016076997&ct=17874&tsum=fe095a1f38d6ea608dc64c6b66e12833
ELTA综合,http://198.16.106.58:8278/eltazhonghe_twn/playlist.m3u8?tid=mc103c8c05141&ct=18335&tsum=53a562eb65370f35b63a332140e2514c
中天娛樂,http://198.16.106.58:8278/ctient/playlist.m3u8?tid=MAFA9292591192925911&ct=18392&tsum=9700d291a8a0f6014e8746168ce4f819
東森戲劇,http://198.16.106.58:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
八大戲劇,http://198.16.106.58:8278/badadrama/playlist.m3u8?tid=MADA9056847690568476&ct=18392&tsum=c7fa17a1b47ee849836c6ebb23a84b67
TVBS歡樂,rtmp://xiaoyu.speedws.com/sat/tv421
緯來戲劇,http://198.16.106.58:8278/videolandxiju_twn/playlist.m3u8?tid=MC0C3544336135443361&ct=18392&tsum=ca3ab2fca32784b0919f587ae88f2bb0
ELTA影劇,http://198.16.106.58:8278/eltadrama_twn/playlist.m3u8?tid=MD7D9600457696004576&ct=18392&tsum=26731f34bdfe9a684889a5d1b8904271
JET 综合,http://185.180.221.193:8278/jettv_japan/playlist.m3u8?tid=MCEC5509704055097040&ct=18392&tsum=d9927e5a3824ba6d2401f86beb413d0b
寰宇綜合,http://198.16.106.58:8278/kuanyuhdzhonghe_twn/playlist.m3u8?tid=MEFE3029475830294758&ct=18392&tsum=1bb293811706315b14f7fa954b39edf4
星空衛視台,http://198.16.106.58:8278/xingkong/playlist.m3u8?tid=m61d2d25a9adb&ct=18335&tsum=bc464e6fb89211029ad1b93ac62830aa
FX-HD,http://198.16.106.58:8278/fxhd_twn/playlist.m3u8?tid=MD1D5513509655135096&ct=18392&tsum=c74e4aed52d91a9dc0ac80b0ac28d90c
壹新聞,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/media.m3u8
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
東森新聞,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
中天新聞,rtmp://xiaoyu.speedws.com/sat/tv521
民視新聞,http://198.16.106.58:8278/ftvnew_taiwan/playlist.m3u8?tid=MCCC6989888169898881&ct=18392&tsum=a2198ff991ead233ab307858d50403b0
三立新聞,http://198.16.106.58:8278/sanlinews/playlist.m3u8?tid=ME3E5821493458214934&ct=18392&tsum=5f17a08bd8808ba519dc51afd614ea06
TVBS新聞,rtmp://xiaoyu.speedws.com/sat/tv551
TVBS,http://198.16.106.58:8278/tvbs/playlist.m3u8?tid=MEFE7824840078248400&ct=18392&tsum=d87f71825e2a134527e0395f265932b0
東森財經,rtmp://xiaoyu.speedws.com/sat/tv551
非凡新聞,http://198.16.106.58:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
年代新聞,http://198.16.106.58:8278/niandainews_twn/playlist.m3u8?tid=m062d2322888417909285&ct=17874&tsum=da6e0908f8df0e85b37f9d93167b9fcd
星衛電影台,http://198.16.106.58:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
衛視電影台,http://bbdd.228888888.xyz:8081/hls/ch304.m3u8
東森電影台,http://198.16.106.58:8278/ettvmovie/playlist.m3u8?tid=MEFE2034566420345664&ct=18392&tsum=1502fc143fc8f9e372aabb9787af9176#http://192.154.103.75:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
緯來電影台,http://198.16.106.58:8278/videolandmovie/playlist.m3u8?tid=MCDC7290934072909340&ct=18392&tsum=eba8b1fbe0f8d2817f298853055269a8
龍祥電影台,http://198.16.106.58:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
HBO,http://198.16.106.58:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138#http://185.93.2.35:12012/live/359111068247FFA1/MSdNvjRLro767t_p65rdcnI4-y2Cthpn1M5pEu1pJ5lbTHbp_NSsbesMwGJmmPcN/35A99883E6FC4D2F/767116.ts
東森洋片台,http://192.154.103.75:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8#http://104.250.154.42:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
AXN,tvbus://4XYR3iE6kxEzCUJdX9wH9QwbanGsRiGxnDcQDFe3zonYqTcRoX
好萊塢電影台,http://198.16.106.58:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
衛視西片台,http://198.16.106.58:8278/6bff18d63e/playlist.m3u8?tid=m5d0687294bc7&ct=18335&tsum=52f1c137409b9c51014621f1e1e21a51#ttp://198.16.106.58:8278/weishiwestern_twn/playlist.m3u8?tid=MFDF8567633585676335&ct=18392&tsum=5f38b79f3c0c38050372e6bde9440a2a
FOX Movies,P2p://sdgdklwos.finetv.tv:9906/59fd246a0009125502a2bba01b0f4bf5#http://192.200.120.82:8080/ZZ_foxaction/ZZ_foxaction.m3u8#http://live.52ypp.com:81/tw.php?id=55
FOX影集,http://bddb.228888888.xyz:8081/live/ws104.m3u8
Fox動作,http://bddb.228888888.xyz:8081/live/ws105.m3u8#http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
Fox家庭,http://bddb.228888888.xyz:8081/live/ws106.m3u8
Fox警匪,http://bddb.228888888.xyz:8081/live/ws107.m3u8
